<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
HDFCBANK,04/20/2021,09:55:00,1410.70,1412.35,1410.50,1411.25,23186,0
HDFCBANK,04/20/2021,09:56:00,1411.40,1412.20,1410.50,1410.50,20577,0
HDFCBANK,04/20/2021,09:57:00,1410.95,1410.95,1410.00,1410.25,29733,0
HDFCBANK,04/20/2021,09:58:00,1410.25,1411.00,1410.10,1410.65,18934,0
HDFCBANK,04/20/2021,09:59:00,1410.65,1410.80,1410.10,1410.80,18151,0
HDFCBANK,04/20/2021,10:00:00,1410.75,1412.80,1410.60,1412.60,30359,0
HDFCBANK,04/20/2021,10:01:00,1412.55,1412.55,1411.10,1411.40,23671,0
HDFCBANK,04/20/2021,10:02:00,1411.35,1411.70,1410.35,1411.70,23604,0
HDFCBANK,04/20/2021,10:03:00,1411.50,1412.00,1410.10,1410.60,16251,0
HDFCBANK,04/20/2021,10:04:00,1410.10,1411.90,1410.05,1411.80,16206,0
HDFCBANK,04/20/2021,10:05:00,1411.95,1411.95,1410.25,1410.75,26301,0
HDFCBANK,04/20/2021,10:06:00,1410.55,1410.75,1406.75,1408.25,76529,0
HDFCBANK,04/20/2021,10:07:00,1408.15,1409.05,1407.15,1408.50,36230,0
HDFCBANK,04/20/2021,10:08:00,1408.95,1410.00,1407.80,1409.60,25917,0
HDFCBANK,04/20/2021,10:09:00,1409.60,1410.15,1408.00,1408.70,28574,0
HDFCBANK,04/20/2021,10:10:00,1408.80,1408.90,1406.25,1406.95,26975,0
HDFCBANK,04/20/2021,10:11:00,1406.90,1408.00,1406.35,1407.40,21574,0
HDFCBANK,04/20/2021,10:12:00,1407.40,1409.55,1406.00,1409.25,28178,0
HDFCBANK,04/20/2021,10:13:00,1409.20,1409.50,1408.00,1408.50,15801,0
HDFCBANK,04/20/2021,10:14:00,1408.00,1408.90,1408.00,1408.70,10402,0
HDFCBANK,04/20/2021,10:15:00,1408.65,1408.80,1406.40,1408.65,19880,0
HDFCBANK,04/20/2021,10:16:00,1408.80,1410.35,1408.65,1410.05,34361,0
HDFCBANK,04/20/2021,10:17:00,1410.00,1411.40,1410.00,1411.35,19744,0
HDFCBANK,04/20/2021,10:18:00,1411.35,1411.50,1410.00,1411.10,41658,0
HDFCBANK,04/20/2021,10:19:00,1411.10,1411.10,1410.30,1410.90,19153,0
HDFCBANK,04/20/2021,10:20:00,1411.30,1411.85,1410.90,1411.65,28865,0
HDFCBANK,04/20/2021,10:21:00,1411.65,1411.70,1411.00,1411.70,20660,0
HDFCBANK,04/20/2021,10:22:00,1411.50,1413.65,1411.40,1413.20,47475,0
HDFCBANK,04/20/2021,10:23:00,1413.20,1413.50,1411.75,1412.55,41486,0
HDFCBANK,04/20/2021,10:24:00,1412.65,1413.50,1412.60,1412.70,26184,0
HDFCBANK,04/20/2021,10:25:00,1412.70,1412.70,1411.15,1411.65,14778,0
HDFCBANK,04/20/2021,10:26:00,1411.85,1412.00,1411.35,1411.50,9606,0
HDFCBANK,04/20/2021,10:27:00,1411.50,1411.55,1409.30,1409.30,26772,0
HDFCBANK,04/20/2021,10:28:00,1409.30,1409.90,1409.00,1409.85,20197,0
