,index,datetime,close,ticker
44725,44725,2021-05-31 01:25:00,3.45,BCP
44726,44726,2021-05-31 01:26:00,3.45,BCP
44727,44727,2021-05-31 01:27:00,3.45,BCP
44728,44728,2021-05-31 01:28:00,3.45,BCP
44729,44729,2021-05-31 01:29:00,3.45,BCP
44730,44730,2021-05-31 01:30:00,3.45,BCP
44731,44731,2021-05-31 01:31:00,3.45,BCP
44732,44732,2021-05-31 01:32:00,3.45,BCP
44733,44733,2021-05-31 01:33:00,3.45,BCP
44734,44734,2021-05-31 01:34:00,3.45,BCP
44735,44735,2021-05-31 01:35:00,3.45,BCP
44736,44736,2021-05-31 01:36:00,3.45,BCP
44737,44737,2021-05-31 01:37:00,3.45,BCP
44738,44738,2021-05-31 01:38:00,3.45,BCP
44739,44739,2021-05-31 01:39:00,3.45,BCP
44740,44740,2021-05-31 01:40:00,3.45,BCP
44741,44741,2021-05-31 01:41:00,3.45,BCP
44742,44742,2021-05-31 01:42:00,3.45,BCP
44743,44743,2021-05-31 01:43:00,3.45,BCP
44744,44744,2021-05-31 01:44:00,3.45,BCP
44745,44745,2021-05-31 01:45:00,3.45,BCP
44746,44746,2021-05-31 01:46:00,3.45,BCP
44747,44747,2021-05-31 01:47:00,3.45,BCP
44748,44748,2021-05-31 01:48:00,3.45,BCP
44749,44749,2021-05-31 01:49:00,3.45,BCP
44750,44750,2021-05-31 01:50:00,3.45,BCP
44751,44751,2021-05-31 01:51:00,3.45,BCP
44752,44752,2021-05-31 01:52:00,3.45,BCP
44753,44753,2021-05-31 01:53:00,3.45,BCP
44754,44754,2021-05-31 01:54:00,3.45,BCP
44755,44755,2021-05-31 01:55:00,3.45,BCP
44756,44756,2021-05-31 01:56:00,3.45,BCP
44757,44757,2021-05-31 01:57:00,3.45,BCP
44758,44758,2021-05-31 01:58:00,3.45,BCP
44759,44759,2021-05-31 01:59:00,3.45,BCP
44760,44760,2021-05-31 02:00:00,3.45,BCP
44761,44761,2021-05-31 02:01:00,3.45,BCP
44762,44762,2021-05-31 02:02:00,3.45,BCP
44763,44763,2021-05-31 02:03:00,3.45,BCP
44764,44764,2021-05-31 02:04:00,3.45,BCP
44765,44765,2021-05-31 02:05:00,3.45,BCP
44766,44766,2021-05-31 02:06:00,3.45,BCP
44767,44767,2021-05-31 02:07:00,3.45,BCP
44768,44768,2021-05-31 02:08:00,3.45,BCP
44769,44769,2021-05-31 02:09:00,3.45,BCP
44770,44770,2021-05-31 02:10:00,3.45,BCP
